Address,LAT,LONG,Price_per_perch,Road,City,School,Hospital,index
piliyandala bokundara,6.818248295,79.92087326,11.58,350.00,337.00,2024.00,1276.00,88
Piliyandala Dampe,6.766693248,79.92043943,10.01,75.00,1138.00,3724.00,4181.00,89
Piliyandala Dampe near bolgoda lake,6.769117474,79.91519541,7.34,270.00,1739.00,3538.00,3992.00,90
piliyandala kasbawa,6.780225382,79.95318877,9.19,550.00,493.00,4089.00,2621.00,91
piliyandala kesbawa,6.7817812,79.95116541,9.06,400.00,386.00,3806.00,2807.00,92
Piliyandala Kesbawa junction near Rocell,6.793868115,79.94255339,8.11,96.00,295.00,2360.00,2484.00,93
Piliyandala Kesbewa Kidelpitiya,6.756449684,79.96079988,5.56,600.00,2854.00,6478.00,3681.00,94
Piliyandala Madapatha Kate Garden,6.763319424,79.92906245,7.20,450.00,436.00,4163.00,4603.00,95
Piliyandala Madapatha Road,6.778494188,79.92688457,12.63,190.00,1357.00,2459.00,2897.00,96
"Piliyandala Town, Miriswatta Junction",6.796757856,79.92981896,8.19,140.00,966.00,918.00,1042.00,97
"Piliyandala, Bypass Road (800M away to Piliyandala town).",6.80157853,79.93214027,13.64,130.00,767.00,1109.00,983.00,98
"Piliyandala, Miriswatta, Facing Gonamaditta Road",6.783176065,79.9349233,7.81,700.00,1550.00,2352.00,2703.00,99
"Polhena Juction, Madapatha, Piliyandala",6.762546273,79.93620166,7.19,350.00,783.00,4458.00,4871.00,100
,6.775951148,79.98306428,6.14,1000.00,3820.00,7278.00,2143.00,101
,6.763925624,79.96308553,6.09,770.00,2317.00,5068.00,2830.00,102
,6.761962811,79.96402272,5.81,590.00,3845.00,5439.00,3406.00,103
,6.759529862,79.95988368,5.07,650.00,3150.00,5865.00,4052.00,104
,6.788016349,80.00100255,5.71,900.00,4582.00,8054.00,3784.00,105
,6.772541653,79.98251091,6.28,1400.00,3813.00,7370.00,1839.00,106
,6.780965757,79.9846744,5.93,550.00,3987.00,7262.00,997.00,107
,6.78182209,80.00633223,6.18,900.00,4398.00,7063.00,3395.00,108
,6.769390716,79.96000714,6.04,410.00,1647.00,5413.00,2555.00,109
,6.778699157,79.97229794,6.58,450.00,2605.00,6054.00,995.00,110
,6.780148115,79.9734137,6.87,400.00,3033.00,6776.00,1970.00,111
,6.780001278,80.00269278,5.38,400.00,4687.00,8268.00,3031.00,112
,6.782498288,80.00460971,6.31,600.00,5211.00,8082.00,3196.00,113
,6.775532265,79.99697089,5.62,750.00,5365.00,8049.00,2590.00,114
,6.786522406,79.9948358,6.52,650.00,5178.00,7865.00,2089.00,115
